PCA components,hidden_layer_sizes,alpha,activation,solver,learning_rate,mean_accuracy
100,"(200, 100)",0.001,tanh,adam,adaptive,0.9791666666666666
100,"(200, 100)",0.001,tanh,adam,constant,0.9791666666666666
150,"(100,)",0.01,tanh,adam,constant,0.9791666666666666
150,"(100,)",0.01,tanh,adam,adaptive,0.9791666666666666
100,"(200, 100)",0.0001,tanh,adam,adaptive,0.9791666666666666
100,"(200, 100)",0.0001,tanh,adam,constant,0.9791666666666666
150,"(100,)",0.001,tanh,adam,constant,0.9791666666666666
150,"(100,)",0.001,tanh,adam,adaptive,0.9791666666666666
150,"(100,)",0.0001,tanh,adam,adaptive,0.9791666666666666
150,"(100,)",0.0001,tanh,adam,constant,0.9791666666666666
100,"(50,)",0.001,tanh,adam,constant,0.9791666666666666
100,"(50,)",0.001,tanh,adam,adaptive,0.9791666666666666
100,"(50,)",0.01,tanh,adam,constant,0.9791666666666666
100,"(50,)",0.01,tanh,adam,adaptive,0.9791666666666666
100,"(50,)",0.0001,tanh,adam,adaptive,0.9791666666666666
100,"(50,)",0.0001,tanh,adam,constant,0.9791666666666666
100,"(200, 100)",0.01,tanh,adam,adaptive,0.9791666666666666
100,"(200, 100)",0.01,tanh,adam,constant,0.9791666666666666
150,"(200, 100)",0.01,tanh,adam,adaptive,0.9750000000000001
150,"(200, 100)",0.01,tanh,adam,constant,0.9750000000000001
50,"(50,)",0.0001,tanh,adam,adaptive,0.9750000000000001
50,"(50,)",0.0001,tanh,adam,constant,0.9750000000000001
50,"(50,)",0.001,tanh,adam,constant,0.9750000000000001
50,"(50,)",0.001,tanh,adam,adaptive,0.9750000000000001
50,"(100,)",0.001,tanh,adam,constant,0.9750000000000001
50,"(100,)",0.001,tanh,adam,adaptive,0.9750000000000001
50,"(50,)",0.01,tanh,adam,constant,0.9750000000000001
50,"(50,)",0.01,tanh,adam,adaptive,0.9750000000000001
150,"(200, 100)",0.001,tanh,adam,adaptive,0.9750000000000001
150,"(200, 100)",0.001,tanh,adam,constant,0.9750000000000001
50,"(100,)",0.01,tanh,adam,adaptive,0.9750000000000001
50,"(100,)",0.01,tanh,adam,constant,0.9750000000000001
50,"(100,)",0.0001,tanh,adam,constant,0.9750000000000001
50,"(100,)",0.0001,tanh,adam,adaptive,0.9750000000000001
150,"(200, 100)",0.0001,tanh,adam,adaptive,0.9750000000000001
150,"(200, 100)",0.0001,tanh,adam,constant,0.9750000000000001
50,"(200, 100)",0.01,tanh,adam,adaptive,0.975
50,"(200, 100)",0.01,tanh,adam,constant,0.975
50,"(200, 100)",0.0001,tanh,adam,adaptive,0.975
50,"(200, 100)",0.0001,tanh,adam,constant,0.975
50,"(200, 100)",0.001,tanh,adam,adaptive,0.975
50,"(200, 100)",0.001,tanh,adam,constant,0.975
100,"(100,)",0.0001,tanh,adam,constant,0.9708333333333333
100,"(100,)",0.0001,tanh,adam,adaptive,0.9708333333333333
150,"(50,)",0.001,tanh,adam,constant,0.9708333333333333
150,"(50,)",0.001,tanh,adam,adaptive,0.9708333333333333
150,"(50,)",0.01,tanh,adam,adaptive,0.9708333333333333
150,"(50,)",0.01,tanh,adam,constant,0.9708333333333333
