PCA components,hidden_layer_sizes,alpha,activation,solver,learning_rate,mean_accuracy
150,"(100,)",0.001,logistic,adam,constant,0.9833333333333334
150,"(100,)",0.0001,logistic,adam,constant,0.9833333333333334
150,"(150,)",0.001,logistic,adam,constant,0.9833333333333334
150,"(150,)",0.0001,logistic,adam,constant,0.9833333333333334
150,"(200,)",0.001,logistic,adam,constant,0.9833333333333334
150,"(100,)",0.01,logistic,adam,constant,0.9833333333333334
150,"(200,)",0.01,logistic,adam,constant,0.9833333333333334
150,"(200,)",0.0001,logistic,adam,constant,0.9833333333333334
100,"(150,)",0.001,logistic,adam,constant,0.9833333333333334
100,"(150,)",0.0001,logistic,adam,constant,0.9833333333333334
100,"(100,)",0.001,identity,adam,constant,0.9791666666666666
100,"(150,)",0.01,logistic,adam,constant,0.9791666666666666
100,"(100,)",0.0001,identity,adam,constant,0.9791666666666666
100,"(200,)",0.001,logistic,adam,constant,0.9791666666666666
100,"(150,)",0.0001,tanh,adam,constant,0.9791666666666666
100,"(150,)",0.001,tanh,adam,constant,0.9791666666666666
150,"(100,)",0.0001,tanh,adam,constant,0.9791666666666666
100,"(200,)",0.0001,logistic,adam,constant,0.9791666666666666
100,"(200,)",0.01,logistic,adam,constant,0.9791666666666666
150,"(100,)",0.01,tanh,adam,constant,0.9791666666666666
150,"(150,)",0.01,logistic,adam,constant,0.9791666666666666
150,"(100,)",0.001,tanh,adam,constant,0.9791666666666666
150,"(150,)",0.01,tanh,adam,constant,0.9791666666666666
100,"(150,)",0.01,tanh,adam,constant,0.9791666666666666
150,"(150,)",0.01,identity,adam,constant,0.9750000000000001
150,"(150,)",0.001,identity,adam,constant,0.9750000000000001
150,"(150,)",0.0001,identity,adam,constant,0.9750000000000001
150,"(150,)",0.001,tanh,adam,constant,0.975
100,"(100,)",0.01,logistic,adam,constant,0.975
100,"(100,)",0.001,logistic,adam,constant,0.975
100,"(100,)",0.01,identity,adam,constant,0.975
150,"(150,)",0.0001,tanh,adam,constant,0.975
100,"(100,)",0.0001,logistic,adam,constant,0.975
150,"(150,)",0.001,relu,adam,constant,0.9708333333333333
150,"(150,)",0.0001,relu,adam,constant,0.9708333333333333
150,"(150,)",0.01,relu,adam,constant,0.9708333333333333
100,"(150,)",0.001,identity,adam,constant,0.9708333333333333
100,"(100,)",0.0001,tanh,adam,constant,0.9708333333333333
100,"(150,)",0.0001,identity,adam,constant,0.9708333333333333
100,"(150,)",0.01,identity,adam,constant,0.9708333333333333
100,"(100,)",0.001,tanh,adam,constant,0.9708333333333333
100,"(100,)",0.01,tanh,adam,constant,0.9708333333333333
150,"(100,)",0.0001,identity,adam,constant,0.9666666666666668
150,"(100,)",0.001,relu,adam,constant,0.9666666666666668
150,"(100,)",0.0001,relu,adam,constant,0.9666666666666668
150,"(100,)",0.01,identity,adam,constant,0.9666666666666668
150,"(100,)",0.01,relu,adam,constant,0.9666666666666668
150,"(100,)",0.001,identity,adam,constant,0.9666666666666668
